"BA","DM","DO","DS","NA","OL","OT","PB","PE","PF","PH","PI","PL","PM","PP","RF","RM","RO","SF","SH","SO"
0,1,0,0,1,0,2,17,0,4,0,0,0,1,6,0,0,0,0,0,0
0,0,0,0,1,0,0,21,0,2,0,0,0,2,6,0,1,0,0,0,0
0,0,0,0,0,0,1,22,0,0,0,0,0,2,10,0,0,0,0,0,0
0,0,0,0,1,0,0,23,0,0,0,0,0,0,8,0,0,0,0,0,0
0,0,0,0,0,0,4,18,0,0,0,0,0,1,3,0,0,0,0,0,0
0,2,0,0,0,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,14,0,0,0,0,0,1,0,0,3,0,0,0,0
0,4,0,0,0,0,3,15,0,0,0,0,0,2,0,0,0,0,0,0,0
0,4,0,0,0,0,1,13,0,0,0,0,0,2,0,0,0,0,0,0,0
0,2,1,0,0,0,1,23,0,0,0,0,0,1,1,0,1,0,0,0,0
0,1,0,0,0,0,1,14,0,0,0,0,0,1,10,0,2,0,0,0,0
0,1,0,0,0,0,0,24,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,1,7,0,0,0,0,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,2,13,0,0,0,0,0,0,8,0,0,0,0,0,0
0,0,0,0,0,0,2,14,0,0,0,0,0,0,6,0,0,0,0,1,0
0,0,0,0,0,0,2,9,0,0,0,0,0,0,6,0,0,0,0,0,0
0,0,0,0,0,0,1,11,0,0,0,0,0,0,4,0,0,0,0,0,0
0,0,0,0,1,0,2,12,0,0,0,0,0,0,10,0,0,0,0,0,0
0,0,0,0,0,0,1,15,0,0,0,0,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,2,22,0,0,0,0,0,0,11,0,0,0,0,0,0
0,0,0,0,0,0,1,19,0,0,0,0,0,0,13,0,0,0,0,1,0
0,0,0,0,0,0,0,21,0,0,0,0,0,0,5,0,0,0,0,0,0
0,0,0,0,0,0,3,15,0,0,0,0,0,0,12,0,0,0,0,0,0
0,0,0,0,0,0,3,14,0,0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,2,13,2,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3,10,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,0,0,1,8,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,1,9,0,1,0,0,0,0,4,0,0,0,0,0,0
